edge_id,edge_kind,from_id,predicate_id,to_id,layer,anchor_mode,anchor_start_secondary,anchor_end_secondary,anchor_segment_ids,witness_scope,connectivity_role,confidence,note
m001,source_edge,tos.support.thus-spoke-zarathustra.prologue.zarathustra,participates_in,tos.event.thus-spoke-zarathustra.prologue.departure-from-origin,source_linked,single,"1,1,1,1",,seg.1.1.1.1,de+ru+en,local_chain,1,стартовый пространственный разрыв
m002,source_edge,tos.event.thus-spoke-zarathustra.prologue.departure-from-origin,leaves,tos.support.thus-spoke-zarathustra.prologue.homeland,source_linked,single,"1,1,1,1",,seg.1.1.1.1,de+ru+en,local_chain,1,
m003,source_edge,tos.event.thus-spoke-zarathustra.prologue.departure-from-origin,leaves,tos.support.thus-spoke-zarathustra.prologue.lake-of-homeland,source_linked,single,"1,1,1,1",,seg.1.1.1.1,de+ru+en,local_chain,1,
m004,source_edge,tos.event.thus-spoke-zarathustra.prologue.departure-from-origin,goes_to,tos.support.thus-spoke-zarathustra.prologue.mountains,source_linked,single,"1,1,1,1",,seg.1.1.1.1,de+ru+en,local_chain,1,
m005,source_edge,tos.support.thus-spoke-zarathustra.prologue.zarathustra,enters_state,tos.state.thus-spoke-zarathustra.prologue.solitary-ripening-10y,source_linked,single,"1,1,1,1",,seg.1.1.1.1,de+ru+en,local_chain,1,десятилетнее уединение как состояние
m006,source_edge,tos.state.thus-spoke-zarathustra.prologue.solitary-ripening-10y,delights_in,tos.support.thus-spoke-zarathustra.prologue.spirit,source_linked,single,"1,1,1,1",,seg.1.1.1.1,de+ru+en,local_chain,1,
m007,source_edge,tos.state.thus-spoke-zarathustra.prologue.solitary-ripening-10y,delights_in,tos.support.thus-spoke-zarathustra.prologue.solitude,source_linked,single,"1,1,1,1",,seg.1.1.1.1,de+ru+en,local_chain,1,
m009,bridge_edge,tos.state.thus-spoke-zarathustra.prologue.solitary-ripening-10y,leads_to,tos.event.thus-spoke-zarathustra.prologue.heart-transformation,source_linked,single,"1,1,1,1",,seg.1.1.1.1,de+ru+en,reasoning_bridge,1,созревание ведет к внутреннему повороту
m010,source_edge,tos.event.thus-spoke-zarathustra.prologue.heart-transformation,affects,tos.support.thus-spoke-zarathustra.prologue.heart,source_linked,single,"1,1,1,1",,seg.1.1.1.1,de+ru+en,local_chain,1,
m011,bridge_edge,tos.event.thus-spoke-zarathustra.prologue.heart-transformation,prepares,tos.event.thus-spoke-zarathustra.prologue.dawn-address-to-sun,source_linked,single,"1,1,1,1",,seg.1.1.1.1,de+ru+en,reasoning_bridge,1,
m012,source_edge,tos.support.thus-spoke-zarathustra.prologue.zarathustra,performs,tos.event.thus-spoke-zarathustra.prologue.dawn-address-to-sun,source_linked,single,"1,1,1,1",,seg.1.1.1.1,de+ru+en,local_chain,1,
m013,source_edge,tos.event.thus-spoke-zarathustra.prologue.dawn-address-to-sun,occurs_with,tos.support.thus-spoke-zarathustra.prologue.dawn,source_linked,single,"1,1,1,1",,seg.1.1.1.1,de+ru+en,local_chain,1,
m014,source_edge,tos.event.thus-spoke-zarathustra.prologue.dawn-address-to-sun,addresses,tos.support.thus-spoke-zarathustra.prologue.sun,source_linked,single,"1,1,1,1",,seg.1.1.1.1,de+ru+en,local_chain,1,
m015,source_edge,tos.support.thus-spoke-zarathustra.prologue.sun,participates_in,tos.state.thus-spoke-zarathustra.prologue.solar-happiness-requires-recipients,source_linked,single,"1,1,1,2",,seg.1.1.1.2,de+ru+en,local_chain,1,солнечное счастье задано как отношение
m016,source_edge,tos.state.thus-spoke-zarathustra.prologue.solar-happiness-requires-recipients,concerns,tos.support.thus-spoke-zarathustra.prologue.happiness,source_linked,single,"1,1,1,2",,seg.1.1.1.2,de+ru+en,local_chain,1,
m017,source_edge,tos.support.thus-spoke-zarathustra.prologue.happiness,depends_on,tos.support.thus-spoke-zarathustra.prologue.recipients-of-light,source_linked,single,"1,1,1,2",,seg.1.1.1.2,de+ru+en,local_chain,1,
m018,source_edge,tos.state.thus-spoke-zarathustra.prologue.solar-happiness-requires-recipients,targets,tos.support.thus-spoke-zarathustra.prologue.recipients-of-light,source_linked,single,"1,1,1,2",,seg.1.1.1.2,de+ru+en,local_chain,1,адресаты света держат смысл счастья
m019,source_edge,tos.support.thus-spoke-zarathustra.prologue.sun,participates_in,tos.event.thus-spoke-zarathustra.prologue.sun-ascends-to-cave-10y,source_linked,single,"1,1,1,3",,seg.1.1.1.3,de+ru+en,local_chain,1,
m020,source_edge,tos.event.thus-spoke-zarathustra.prologue.sun-ascends-to-cave-10y,destination,tos.support.thus-spoke-zarathustra.prologue.cave,source_linked,single,"1,1,1,3",,seg.1.1.1.3,de+ru+en,local_chain,1,
