node_id,label_ru,node_class,layer,first_segment_id,first_source_secondary,canonical_label,label_en,status,note
n.zarathustra,Заратустра,persona,source_linked,seg.1.1.1.1,"1,1,1,1",zarathustra,,candidate,стартовый пространственный разрыв | десятилетнее уединение как состояние
n.homeland,родина,place,source_linked,seg.1.1.1.1,"1,1,1,1",homeland,,candidate,
n.lake_of_homeland,озеро родины,place-symbol,source_linked,seg.1.1.1.1,"1,1,1,1",lake_of_homeland,,candidate,
n.mountains,горы,place,source_linked,seg.1.1.1.1,"1,1,1,1",mountains,,candidate,
n.spirit,дух,inner_resource,source_linked,seg.1.1.1.1,"1,1,1,1",spirit,,candidate,
n.solitude,одиночество / уединение,state-concept,source_linked,seg.1.1.1.1,"1,1,1,1",solitude,,candidate,
literal.ten_years,?????? ???,literal,source_linked,seg.1.1.1.1,"1,1,1,1",ten_years,,candidate,lifted from master for referential closure
n.heart,сердце,inner_center,source_linked,seg.1.1.1.1,"1,1,1,1",heart,,candidate,
n.dawn,заря,time-symbol,source_linked,seg.1.1.1.1,"1,1,1,1",dawn,,candidate,
n.sun,солнце / великое светило,cosmic_entity,source_linked,seg.1.1.1.1,"1,1,1,1",sun,,candidate,солнечное счастье задано как отношение | условная конструкция пресыщения | солнечный образ сужен до ока | твоя отрада относится к светилу
n.happiness,счастье,quality,source_linked,seg.1.1.1.2,"1,1,1,2",happiness,,candidate,
n.recipients_of_light,"те, кому светят",relational_group,source_linked,seg.1.1.1.2,"1,1,1,2",recipients_of_light,,candidate,адресаты света держат смысл счастья
n.cave,пещера,place-threshold,source_linked,seg.1.1.1.3,"1,1,1,3",cave,,candidate,
n.light,свет,quality-substance,source_linked,seg.1.1.1.3,"1,1,1,3",light,,candidate,
n.path,путь,route,source_linked,seg.1.1.1.3,"1,1,1,3",path,,candidate,
n.triad_zarathustra_eagle_serpent,Заратустра + орёл + змея,collective_subject,source_linked,seg.1.1.1.3,"1,1,1,3",triad_zarathustra_eagle_serpent,,candidate,
n.eagle,орёл,animal-symbol,source_linked,seg.1.1.1.3,"1,1,1,3",eagle,,candidate,
n.serpent,змея,animal-symbol,source_linked,seg.1.1.1.3,"1,1,1,3",serpent,,candidate,
n.morning,утро,time,source_linked,seg.1.1.1.4,"1,1,1,4",morning,,candidate,
n.overflow,избыток / overflow,abundance,source_linked,seg.1.1.1.10,"1,1,1,4",overflow,,candidate,
n.wisdom,мудрость,concept,source_linked,seg.1.1.1.5,"1,1,1,5",wisdom,,candidate,
n.bee,пчела,analogy-animal,source_linked,seg.1.1.1.5,"1,1,1,5",bee,,candidate,
n.honey,мёд,substance,source_linked,seg.1.1.1.5,"1,1,1,5",honey,,candidate,
literal.too_much,??????? ?????,literal,source_linked,seg.1.1.1.5,"1,1,1,5",too_much,,candidate,lifted from master for referential closure
n.outstretched_hands,простёртые руки,recipient-interface,source_linked,seg.1.1.1.5,"1,1,1,5",outstretched_hands,,candidate,
n.bestowal,одаривание,act-mode,source_linked,seg.1.1.1.6,"1,1,1,6",bestowal,,candidate,
n.distribution,раздача,act-mode,source_linked,seg.1.1.1.6,"1,1,1,6",distribution,,candidate,
n.humans,люди,relational_group,source_linked,seg.1.1.1.6,"1,1,1,6",humans,,candidate,человеческое имя для нисхождения
n.wise_among_humans,мудрые среди людей,subgroup,source_linked,seg.1.1.1.6,"1,1,1,6",wise_among_humans,,candidate,
n.folly,глупость / Thorheit,concept-tension,source_linked,seg.1.1.1.6,"1,1,1,6",folly,,candidate,
n.poor_among_humans,бедные среди людей,subgroup,source_linked,seg.1.1.1.6,"1,1,1,6",poor_among_humans,,candidate,
n.wealth,богатство,concept,source_linked,seg.1.1.1.6,"1,1,1,6",wealth,,candidate,
n.depth,глубина,destination-symbol,source_linked,seg.1.1.1.7,"1,1,1,7",depth,,candidate,
n.evening,вечер,time-symbol,source_linked,seg.1.1.1.7,"1,1,1,7",evening,,candidate,
n.sea,море,threshold-place,source_linked,seg.1.1.1.7,"1,1,1,7",sea,,candidate,
n.underworld,подземный мир,underworld-domain,source_linked,seg.1.1.1.7,"1,1,1,7",underworld,,candidate,
n.go_under,закатиться / untergehen / go under,hinge-term,source_linked,seg.1.1.1.12,"1,1,1,7",go_under,,candidate,человеческое имя для нисхождения
n.tranquil_eye,спокойное око,solar-aspect,source_linked,seg.1.1.1.10,"1,1,1,9",tranquil_eye,,candidate,солнечный образ сужен до ока
n.all_too_great_happiness,чрезмерно большое счастье,quality,source_linked,seg.1.1.1.9,"1,1,1,9",all_too_great_happiness,,candidate,
n.envy,зависть,negative-affect,source_linked,seg.1.1.1.9,"1,1,1,9",envy,,candidate,
n.blessing,благословение,act,source_linked,seg.1.1.1.9,"1,1,1,9",blessing,,candidate,
n.cup,чаша,vessel-symbol,source_linked,seg.1.1.1.10,"1,1,1,10",cup,,candidate,
n.water,влага / вода,substance,source_linked,seg.1.1.1.10,"1,1,1,10",water,,candidate,
n.gold,золото / золотистость,quality,source_linked,seg.1.1.1.10,"1,1,1,10",gold,,candidate,
n.reflection,отблеск / отражение,reflective_quality,source_linked,seg.1.1.1.10,"1,1,1,10",reflection,,candidate,
n.bliss,отрада / блаженство,solar_quality,source_linked,seg.1.1.1.10,"1,1,1,10",bliss,,candidate,твоя отрада относится к светилу
n.emptiness,пустота / опустошение,state,source_linked,seg.1.1.1.11,"1,1,1,11",emptiness,,candidate,
n.human,человек,anthropic_state,source_linked,seg.1.1.1.11,"1,1,1,11",human,,candidate,
